unknown	document	note	3630 nodes, 101 of them focusable, at 1 device pixels per CSS pixel
unknown	rect	node:zgui componentsevery component in the li	0.0 0.0 947.0 512.0
unknown	rect	node:	0.0 0.0 932.0 497.0
unknown	rect	node:	0.0 0.0 932.0 497.0
unknown	rect	node:	0.0 0.0 932.0 497.0
unknown	rect	node:	572.0 465.0 360.0 32.0
unknown	rect	node:	0.0 0.0 932.0 497.0
unknown	rect	node:	0.0 0.0 932.0 497.0
unknown	rect	node:zgui componentsevery component in the li	0.0 0.0 932.0 7619.0
unknown	rect	node:zgui componentsevery component in the li	24.0 24.0 884.0 60.0
unknown	rect	node:zgui componentsevery component in the li	24.0 24.0 293.0 60.0
unknown	rect	node:zgui components	24.0 24.0 293.0 36.0
unknown	rect	node:every component in the library, in a rea	24.0 64.0 293.0 20.0
unknown	rect	node:	333.0 54.0 421.0 0.0
unknown	rect	node:light	770.0 43.0 41.0 22.0
unknown	rect	node:light	779.0 46.0 23.1 16.0
unknown	rect	node:Dark	827.0 45.0 29.0 18.0
unknown	rect	node:	872.0 44.0 36.0 20.0
unknown	rect	node:	875.0 46.0 16.0 16.0
unknown	rect	node:Buttonsix variants, four sizes, and disa	24.0 108.0 884.0 7487.0
unknown	rect	node:Buttonsix variants, four sizes, and disa	24.0 108.0 514.0 338.0
unknown	rect	node:Button	41.0 125.0 480.0 24.0
unknown	rect	node:six variants, four sizes, and disabled	41.0 153.0 480.0 16.0
unknown	rect	node:variantsDefaultSecondaryDestructiveOutli	41.0 173.0 480.0 256.0
unknown	rect	node:variantsDefaultSecondaryDestructiveOutli	41.0 185.0 480.0 101.0
unknown	rect	node:variants	41.0 185.0 480.0 17.0
unknown	rect	node:DefaultSecondaryDestructiveOutlineGhostL	41.0 206.0 480.0 80.0
unknown	rect	node:Default	41.0 206.0 82.0 36.0
unknown	rect	node:Default	58.0 214.0 48.2 20.0
unknown	rect	node:Secondary	131.0 206.0 107.0 36.0
unknown	rect	node:Secondary	148.0 214.0 73.0 20.0
unknown	rect	node:Destructive	246.0 206.0 111.0 36.0
unknown	rect	node:Destructive	263.0 214.0 77.0 20.0
unknown	rect	node:Outline	365.0 206.0 82.0 36.0
unknown	rect	node:Outline	382.0 214.0 48.1 20.0
unknown	rect	node:Ghost	41.0 250.0 74.0 36.0
unknown	rect	node:Ghost	58.0 258.0 40.0 20.0
unknown	rect	node:Link	123.0 250.0 61.0 36.0
unknown	rect	node:Link	140.0 258.0 27.7 20.0
unknown	rect	node:sizesSmallMediumLarge	41.0 298.0 480.0 62.0
unknown	rect	node:sizes	41.0 298.0 480.0 16.0
unknown	rect	node:SmallMediumLarge	41.0 318.0 480.0 42.0
unknown	rect	node:Small	41.0 324.0 61.0 30.0
unknown	rect	node:Small	54.0 329.0 35.0 20.0
unknown	rect	node:Medium	110.0 321.0 88.0 36.0
unknown	rect	node:Medium	127.0 329.0 54.0 20.0
unknown	rect	node:Large	206.0 318.0 93.0 42.0
unknown	rect	node:Large	231.0 329.0 43.0 20.0
unknown	rect	node:	307.0 321.0 36.0 36.0
unknown	rect	node:	317.0 331.0 16.0 16.0
unknown	rect	node:disabledDefaultOutline	41.0 372.0 480.0 57.0
unknown	rect	node:disabled	41.0 372.0 480.0 17.0
unknown	rect	node:DefaultOutline	41.0 393.0 480.0 36.0
unknown	rect	node:Default	41.0 393.0 82.0 36.0
unknown	rect	node:Default	58.0 401.0 48.2 20.0
unknown	rect	node:Outline	131.0 393.0 82.0 36.0
unknown	rect	node:Outline	148.0 401.0 48.1 20.0
unknown	rect	node:Badge, label, separatorthe labels that a	554.0 108.0 314.0 312.0
unknown	rect	node:Badge, label, separator	571.0 125.0 280.0 24.0
unknown	rect	node:the labels that are not controls	571.0 153.0 280.0 16.0
unknown	rect	node:badgeDefaultSecondaryDestructiveOutlines	571.0 173.0 280.0 230.0
unknown	rect	node:badgeDefaultSecondaryDestructiveOutline	571.0 185.0 280.0 73.0
unknown	rect	node:badge	571.0 185.0 280.0 17.0
unknown	rect	node:DefaultSecondaryDestructiveOutline	571.0 206.0 280.0 52.0
unknown	rect	node:Default	571.0 206.0 56.0 22.0
unknown	rect	node:Default	580.0 209.0 38.0 16.0
unknown	rect	node:Secondary	635.0 206.0 75.0 22.0
unknown	rect	node:Secondary	644.0 209.0 57.0 16.0
unknown	rect	node:Destructive	718.0 206.0 78.0 22.0
